# 1: VFTS Identifier
# 2: Spectral type
# 3: log(L/Lsun)	4: d+log(L/Lsun)	5: d-log(L/Lsun)	6: CI/\%
# 7: Teff/K	8: d+Teff/K	9: d-Teff/K	10: CI/\%
# 11: log(g/cgs)	12: d+log(g/cgs)	13: d-log(g/cgs)	14: CI/\%
# 15: vsini/km/s	16: d+vsini/km/s	17: d-vsini/km/s	18: CI/\%
# 19: Y	20: d+Y	21: d-Y	22: CI/\%
# 23: Reference
# 24: Mini/Msun	25: d+Mini/Msun	26: d-Mini/Msun	27: CI/\%
# 28: vini/km/s	29: d+vini/km/s	30: d-vini/km/s	31: CI/\%
# 32: Age/Myr	33: d+Age/Myr	34: d-Age/Myr	35: CI/\%
# 36: Mpresent/Msun	37: d+Mpresent/Msun	38: d-Mpresent/Msun	39: CI/\%
# 40: R/Rsun	41: d+R/Rsun	42: d-R/Rsun	43: CI/\%
074	O9 Vn	4.69	0.15	0.15	68.3	35140.00	1350.00	1350.00	68.3	4.23	0.21	0.21	68.3	265.00	30.00	30.00	68.3	-	-	-	-	(3,4)	20.0	1.8	1.6	68.3	270	63	45	68.3	1.7	1.2	1.6	68.4	20.0	1.7	1.5	68.3	6.0	0.5	0.6	68.3
075	B1 V	3.80	0.10	0.10	68.3	23000.00	1000.00	1000.00	68.3	4.00	0.10	0.10	68.3	70.00	30.00	30.00	68.3	-	-	-	-	(6)	8.4	0.6	0.4	68.3	70	67	57	68.3	18.3	3.2	3.3	68.3	8.4	0.6	0.4	68.3	4.8	0.5	0.5	68.3
076	O9.2 III	5.10	0.10	0.10	68.3	33250.00	500.00	820.00	68.3	3.56	0.10	0.10	68.3	90.00	30.00	30.00	68.3	-	-	-	-	(1)	24.6	2.1	1.8	68.3	100	45	34	68.3	5.0	0.4	0.3	68.3	25.0	1.0	2.6	68.3	11.7	1.3	1.1	68.3
077	O9.5: IIIn	4.48	0.10	0.10	68.3	33650.00	920.00	1330.00	68.3	4.32	0.15	0.10	68.3	264.00	30.00	30.00	68.3	-	-	-	-	(1)	17.4	1.0	1.2	68.3	270	54	43	68.3	0.1	1.7	0.1	68.3	17.4	1.0	1.2	68.3	5.2	0.3	0.3	68.3
078	B1 V	4.22	0.10	0.10	68.3	24000.00	1410.00	1410.00	68.3	4.10	0.10	0.10	68.3	154.00	30.00	30.00	68.3	-	-	-	-	(6)	11.0	0.8	0.7	68.3	200	96	45	68.3	11.1	2.3	2.4	68.3	11.0	0.8	0.7	68.3	5.5	0.6	0.5	68.3
079	WN4b/WCE	5.80	0.20	0.20	68.3	80000.00	2000.00	2000.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(8)	30.0-60.0	-	-	100.0	-	-	-	-	4.5-8.0	-	-	100.0	17.9-31.8	-	-	100.0	-	-	-	-
080	O9.7 II-III((n))	4.68	0.10	0.10	68.3	31300.00	790.00	640.00	68.3	3.89	0.10	0.10	68.3	194.00	30.00	30.00	68.3	-	-	-	-	(1)	17.2	1.1	0.9	68.3	200	50	47	68.3	6.2	0.6	0.6	68.3	17.4	0.8	1.0	68.3	7.4	0.8	0.7	68.3
081	Mid-late K	3.57	0.63	0.63	68.3	4100.00	150.00	150.00	68.3	-	-	-	-	-	-	-	-	-	-	-	-	(7)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
082	B0.5 Ib-Iab	5.26	0.10	0.10	68.3	25500.00	1000.00	1000.00	68.3	3.00	0.20	0.20	68.3	<59	-	-	100.0	-	-	-	-	(5)	24.8	2.5	2.6	68.3	60	9	54	68.3	6.0	0.8	0.5	70.1	23.4	3.1	1.6	68.3	22.8	2.7	3.2	68.3
083	B1.5 V	4.31	0.10	0.10	68.3	23000.00	1000.00	1000.00	68.3	3.80	0.10	0.10	68.3	156.00	30.00	30.00	68.3	-	-	-	-	(6)	11.0	0.7	0.7	68.3	200	89	41	68.4	15.0	1.7	1.6	68.3	11.0	0.7	0.7	68.3	7.6	0.8	0.7	68.3
084	B1.5 V	4.01	0.10	0.10	68.3	22000.00	1000.00	1000.00	68.3	4.00	0.10	0.10	68.3	179.00	31.00	31.00	68.3	-	-	-	-	(6)	9.2	0.5	0.6	68.3	200	92	27	68.4	17.6	2.5	2.4	68.3	9.2	0.5	0.6	68.3	5.6	0.5	0.6	68.3
085	B1.5 V	3.62	0.10	0.10	68.3	19000.00	1000.00	1000.00	68.3	3.60	0.10	0.10	68.3	137.00	30.00	30.00	68.3	-	-	-	-	(6)	7.0	0.5	0.3	68.3	200	87	47	68.4	34.6	4.6	3.9	68.3	7.0	0.5	0.3	68.3	6.4	0.7	0.6	68.3
087	O9.7 Ib-II	5.29	0.10	0.10	68.3	30550.00	500.00	500.00	68.3	3.32	0.10	0.10	68.3	84.00	30.00	30.00	68.3	-	-	-	-	(1)	28.2	2.9	2.4	68.3	100	45	36	68.3	5.0	0.4	0.4	68.3	26.4	3.9	0.9	68.3	17.1	1.5	2.0	68.3
088	B0: V-III(n)	4.76	0.10	0.10	68.3	27000.00	1000.00	1000.00	68.3	3.00	0.10	0.10	68.3	206.00	30.00	30.00	68.3	-	-	-	-	(6)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
089	O6.5 V((f))z Nstr	5.09	0.18	0.18	68.3	39700.00	700.00	700.00	68.3	4.02	0.12	0.12	68.3	50.00	30.00	30.00	68.3	-	-	-	-	(3,4)	28.4	2.7	2.0	68.3	70	45	32	68.3	2.6	0.4	0.8	68.3	28.2	2.6	1.9	68.3	7.8	1.1	1.0	68.3
